Sample_number,Reference,Volcanic Zone,Volcanic Zone specific,Volcanic System,Location,Site,Systems,time,Age yrs BP (Ref 1950),age error,Eruption type,Latitiude,Longitude,Type,SiO2,TiO2,Al2O3,Cr2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SrO,BaO,H2O,sum,Pressure_min,Probability
RP1,Koornneef2012,RVB,REP,Svartsengi,0,Illahraun,Svartsengi,Historical,1211-1240 AD,0,0,64.054,-21.991,Lava,48.361,1.739,15.183,0.051,11.588,0,0.192,8.016,12.272,2.204,0.202,0.172,0,0,0,100,6.073798741,0.945067737
RP3,Koornneef2012,RVB,REP,Svartsengi,0,Arnarseturshraun,Svartsengi,Historical,1211-1240 AD,0,0,63.928,-22.425,Lava,49.485,1.848,13.706,0.02,13.457,0,0.223,6.904,11.503,2.416,0.223,0.203,0,0,0,100,2.775083859,0.996282409
RP7,Koornneef2012,RVB,REP,Svartsengi,0,Eldvarpahraun,Svartsengi,Historical,1211-1240 AD,0,0,63.819,-22.558,Lava,48.773,1.95,14.032,0.04,13.172,0,0.222,7.597,11.486,2.324,0.192,0.202,0,0,0,100,5.144406013,0.806008607
RP8,Koornneef2012,RVB,REP,Svartsengi,0,Arnarseturshraun,Svartsengi,Historical,1211-1240 AD,0,0,63.909,-22.42,Lava,49.338,2.042,13.734,0.03,13.382,0,0.223,6.867,11.519,2.438,0.213,0.203,0,0,0,100,2.695490084,0.974751937
RP9,Koornneef2012,RVB,REP,Svartsengi,0,Arnarseturshraun,Svartsengi,Historical,1211-1240 AD,0,0,63.89,-22.426,Lava,49.445,1.816,13.795,0.02,13.404,0,0.224,6.908,11.54,2.418,0.214,0.204,0,0,0,100,2.868579626,0.981366315
408673,Peate2009,RVB,REP,Svartsengi,0,Eldvarpahraun,Svartsengi,Historical,1211-1240 AD,0,0,63.87,-22.52,Lava,49.6,2.16,13.62,0,13.81,0,0.24,6.6,11.11,2.39,0.25,0.22,0,0,0,100,2.606438714,0.899427347
NI-8554,Peate2009,RVB,REP,Svartsengi,0,Illahraun,Svartsengi,Historical,1211-1240 AD,0,0,63.88,-22.46,Lava,49.31,2.04,13.86,0,13.31,0,0.23,7.01,11.42,2.38,0.23,0.2,0,0,0,99.99,3.325721929,0.989806473
456722,Peate2009,RVB,REP,Svartsengi,0,Arnarseturshraun,Svartsengi,Historical,1211-1240 AD,0,0,63.92,-22.43,Lava,49.23,2.02,14.04,0,13.27,0,0.23,6.95,11.47,2.35,0.23,0.2,0,0,0,99.99,3.422018449,0.886383783
RP2,Koornneef2012,RVB,REP,Krysuvik,0,Afstaparhraun,Krysuvik,Historical,1211-1240 AD,0,0,64.016,-22.173,Lava,49.577,1.37,14.192,0.02,12.086,0,0.213,7.558,12.387,2.272,0.183,0.132,0,0,0,100,2.862004421,0.99795961
456723,Peate2009,RVB,REP,Krysuvik,0,Afstaparhraun_yngra,Krysuvik,Historical,1325 AD,0,0,63.94,-22.13,Lava,49.47,1.47,14.34,0,11.97,0,0.21,7.67,12.27,2.27,0.19,0.14,0,0,0,100,3.464901963,0.997972433
NI-8629,Peate2009,RVB,REP,Krysuvik,0,Eldborgarhraun,Krysuvik,Historical,1325 AD,0,0,63.97,-22.1,Lava,49.41,1.51,14.23,0,12.11,0,0.21,7.77,12.26,2.17,0.18,0.13,0,0,0,99.98,3.67261764,0.982757607
7,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.1,1.81,12.49,0,12.95,0,0.16,6.18,11.47,2.44,0.2,0.2,0,0,0,98,-1.357450614,0.982849052
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.01,1.87,13.2,0,12.37,0,0.23,6.91,11.4,1.99,0.15,0.19,0,0,0,97.32,1.80840885,0.901631992
28,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.95,1.97,12.59,0,13.49,0,0.15,6.03,11.06,2.47,0.18,0.12,0,0,0,98.01,-0.544271564,0.912543048
28,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.09,1.9,13.11,0,12.31,0,0.19,6.58,12.28,2.5,0.17,0.18,0,0,0,97.31,-0.163530616,0.913517797
28,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.82,1.54,13.18,0,11.48,0,0.2,7.13,12.58,2.22,0.13,0.08,0,0,0,97.36,-0.066760676,0.991705785
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,51.23,1.91,12.83,0,12.3,0,0.2,6.31,11.06,2.3,0.21,0.19,0,0,0,98.54,-0.732451396,0.852727497
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.09,1.87,13.37,0,12.4,0,0.15,6.7,11.64,2.26,0.22,0.19,0,0,0,98.89,0.513206253,0.827397291
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.59,1.92,12.96,0,12.64,0,0.19,6.37,11.01,2.45,0.18,0.26,0,0,0,97.57,0.527395929,0.916819203
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.51,1.97,13.34,0,12.16,0,0.19,6.78,11.5,2.32,0.23,0.23,0,0,0,98.23,0.964730962,0.935146554
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.59,1.84,12.83,0,12.7,0,0.19,6.36,10.74,2.37,0.23,0.22,0,0,0,96.07,1.282428187,0.986938495
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.18,1.67,12.97,0,12.72,0,0.24,6.26,10.55,2.45,0.18,0.23,0,0,0,96.45,1.389960493,0.899554676
27,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.69,1.87,12.42,0,13.26,0,0.19,6.2,11.24,2.38,0.2,0.19,0,0,0,97.64,-0.650692908,0.997538124
